1731474948.730818 server started (38312): version 3.5a, socket /private/tmp/tmux-501/default, protocol 8
1731474948.730848 on Darwin 24.0.0 Darwin Kernel Version 24.0.0: Tue Sep 24 23:37:13 PDT 2024; root:xnu-11215.1.12~1/RELEASE_ARM64_T8112
1731474948.730856 using libevent 2.1.12-stable select
1731474948.730867 using utf8proc 2.9.0
1731474948.730874 using ncurses 6.5 20240427
1731474948.731259 input_key_build: 0x10e1b2 (KP+) is +
1731474948.731266 input_key_build: 0x10e1b3 (KP4) is 4
1731474948.731270 input_key_build: 0x10e1b4 (KP5) is 5
1731474948.731275 input_key_build: 0x10e1b5 (KP6) is 6
1731474948.731279 input_key_build: 0x10e1b6 (KP1) is 1
1731474948.731285 input_key_build: 0x10e1b7 (KP2) is 2
1731474948.731289 input_key_build: 0x10e1b8 (KP3) is 3
1731474948.731294 input_key_build: 0x10e1b9 (KPEnter) is \n
1731474948.731299 input_key_build: 0x10e1ba (KP0) is 0
1731474948.731303 input_key_build: 0x10e1bb (KP.) is .
1731474948.731308 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1731474948.731313 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1731474948.731318 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1731474948.731322 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1731474948.731327 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
1731474948.731334 input_key_build: 0x20000010e19a (C-F6) is \033[17;5~
1731474948.731339 input_key_build: 0x20000010e19b (C-F7) is \033[18;5~
1731474948.731344 input_key_build: 0x20000010e19c (C-F8) is \033[19;5~
1731474948.731352 input_key_build: 0x20000010e19d (C-F9) is \033[20;5~
1731474948.731357 input_key_build: 0x20000010e19e (C-F10) is \033[21;5~
1731474948.731362 input_key_build: 0x20000010e19f (C-F11) is \033[23;5~
1731474948.731367 input_key_build: 0x20000010e1a0 (C-F12) is \033[24;5~
1731474948.731371 input_key_build: 0x20000010e1a1 (C-IC) is \033[2;5~
1731474948.731376 input_key_build: 0x20000010e1a2 (C-DC) is \033[3;5~
1731474948.731381 input_key_build: 0x20000010e1a3 (C-Home) is \033[1;5H
1731474948.731385 input_key_build: 0x20000010e1a4 (C-End) is \033[1;5F
1731474948.731390 input_key_build: 0x20000010e1a5 (C-NPage) is \033[6;5~
1731474948.731395 input_key_build: 0x20000010e1a6 (C-PPage) is \033[5;5~
1731474948.731400 input_key_build: 0x20000010e1a8 (C-Up) is \033[1;5A
1731474948.731411 input_key_build: 0x20000010e1a9 (C-Down) is \033[1;5B
1731474948.731414 input_key_build: 0x20000010e1aa (C-Left) is \033[1;5D
1731474948.731418 input_key_build: 0x20000010e1ab (C-Right) is \033[1;5C
1731474948.731422 input_key_build: 0x40000010e195 (S-F1) is \033[1;2P
1731474948.731427 input_key_build: 0x40000010e196 (S-F2) is \033[1;2Q
1731474948.731431 input_key_build: 0x40000010e197 (S-F3) is \033[1;2R
1731474948.731434 input_key_build: 0x40000010e198 (S-F4) is \033[1;2S
1731474948.731438 input_key_build: 0x40000010e199 (S-F5) is \033[15;2~
1731474948.731442 input_key_build: 0x40000010e19a (S-F6) is \033[17;2~
1731474948.731446 input_key_build: 0x40000010e19b (S-F7) is \033[18;2~
1731474948.731450 input_key_build: 0x40000010e19c (S-F8) is \033[19;2~
1731474948.731454 input_key_build: 0x40000010e19d (S-F9) is \033[20;2~
1731474948.731457 input_key_build: 0x40000010e19e (S-F10) is \033[21;2~
1731474948.731461 input_key_build: 0x40000010e19f (S-F11) is \033[23;2~
1731474948.731465 input_key_build: 0x40000010e1a0 (S-F12) is \033[24;2~
1731474948.731468 input_key_build: 0x40000010e1a1 (S-IC) is \033[2;2~
1731474948.731472 input_key_build: 0x40000010e1a2 (S-DC) is \033[3;2~
1731474948.731475 input_key_build: 0x40000010e1a3 (S-Home) is \033[1;2H
1731474948.731479 input_key_build: 0x40000010e1a4 (S-End) is \033[1;2F
1731474948.731482 input_key_build: 0x40000010e1a5 (S-NPage) is \033[6;2~
1731474948.731485 input_key_build: 0x40000010e1a6 (S-PPage) is \033[5;2~
1731474948.731489 input_key_build: 0x40000010e1a8 (S-Up) is \033[1;2A
1731474948.731492 input_key_build: 0x40000010e1a9 (S-Down) is \033[1;2B
1731474948.731495 input_key_build: 0x40000010e1aa (S-Left) is \033[1;2D
1731474948.731499 input_key_build: 0x40000010e1ab (S-Right) is \033[1;2C
1731474948.731503 input_key_build: 0x60000010e195 (C-S-F1) is \033[1;6P
1731474948.731506 input_key_build: 0x60000010e196 (C-S-F2) is \033[1;6Q
1731474948.731510 input_key_build: 0x60000010e197 (C-S-F3) is \033[1;6R
1731474948.731513 input_key_build: 0x60000010e198 (C-S-F4) is \033[1;6S
1731474948.731516 input_key_build: 0x60000010e199 (C-S-F5) is \033[15;6~
1731474948.731519 input_key_build: 0x60000010e19a (C-S-F6) is \033[17;6~
1731474948.731523 input_key_build: 0x60000010e19b (C-S-F7) is \033[18;6~
1731474948.731526 input_key_build: 0x60000010e19c (C-S-F8) is \033[19;6~
1731474948.731529 input_key_build: 0x60000010e19d (C-S-F9) is \033[20;6~
1731474948.731532 input_key_build: 0x60000010e19e (C-S-F10) is \033[21;6~
1731474948.731536 input_key_build: 0x60000010e19f (C-S-F11) is \033[23;6~
1731474948.731539 input_key_build: 0x60000010e1a0 (C-S-F12) is \033[24;6~
1731474948.731542 input_key_build: 0x60000010e1a1 (C-S-IC) is \033[2;6~
1731474948.731546 input_key_build: 0x60000010e1a2 (C-S-DC) is \033[3;6~
1731474948.731549 input_key_build: 0x60000010e1a3 (C-S-Home) is \033[1;6H
1731474948.731553 input_key_build: 0x60000010e1a4 (C-S-End) is \033[1;6F
1731474948.731556 input_key_build: 0x60000010e1a5 (C-S-NPage) is \033[6;6~
1731474948.731561 input_key_build: 0x60000010e1a6 (C-S-PPage) is \033[5;6~
1731474948.731565 input_key_build: 0x60000010e1a8 (C-S-Up) is \033[1;6A
1731474948.731569 input_key_build: 0x60000010e1a9 (C-S-Down) is \033[1;6B
1731474948.731572 input_key_build: 0x60000010e1aa (C-S-Left) is \033[1;6D
1731474948.731575 input_key_build: 0x60000010e1ab (C-S-Right) is \033[1;6C
1731474948.731579 input_key_build: 0x200000010e1ac (KP/[K]) is \033Oo
1731474948.731582 input_key_build: 0x200000010e1ad (KP*[K]) is \033Oj
1731474948.731586 input_key_build: 0x200000010e1ae (KP-[K]) is \033Om
1731474948.731589 input_key_build: 0x200000010e1af (KP7[K]) is \033Ow
1731474948.731593 input_key_build: 0x200000010e1b0 (KP8[K]) is \033Ox
1731474948.731597 input_key_build: 0x200000010e1b1 (KP9[K]) is \033Oy
1731474948.731600 input_key_build: 0x200000010e1b2 (KP+[K]) is \033Ok
1731474948.731604 input_key_build: 0x200000010e1b3 (KP4[K]) is \033Ot
1731474948.731607 input_key_build: 0x200000010e1b4 (KP5[K]) is \033Ou
1731474948.731610 input_key_build: 0x200000010e1b5 (KP6[K]) is \033Ov
1731474948.731620 input_key_build: 0x200000010e1b6 (KP1[K]) is \033Oq
1731474948.731623 input_key_build: 0x200000010e1b7 (KP2[K]) is \033Or
1731474948.731626 input_key_build: 0x200000010e1b8 (KP3[K]) is \033Os
1731474948.731630 input_key_build: 0x200000010e1b9 (KPEnter[K]) is \033OM
1731474948.731633 input_key_build: 0x200000010e1ba (KP0[K]) is \033Op
1731474948.731637 input_key_build: 0x200000010e1bb (KP.[K]) is \033On
1731474948.731641 input_key_build: 0x400000010e1a8 (Up[C]) is \033OA
1731474948.731645 input_key_build: 0x400000010e1a9 (Down[C]) is \033OB
1731474948.731649 input_key_build: 0x400000010e1aa (Left[C]) is \033OD
1731474948.731653 input_key_build: 0x400000010e1ab (Right[C]) is \033OC
1731474948.731656 input_key_build: 0x810000010e195 (M-F1[I]) is \033[1;3P
1731474948.731660 input_key_build: 0x810000010e196 (M-F2[I]) is \033[1;3Q
1731474948.731664 input_key_build: 0x810000010e197 (M-F3[I]) is \033[1;3R
1731474948.731668 input_key_build: 0x810000010e198 (M-F4[I]) is \033[1;3S
1731474948.731671 input_key_build: 0x810000010e199 (M-F5[I]) is \033[15;3~
1731474948.731675 input_key_build: 0x810000010e19a (M-F6[I]) is \033[17;3~
1731474948.731679 input_key_build: 0x810000010e19b (M-F7[I]) is \033[18;3~
1731474948.731683 input_key_build: 0x810000010e19c (M-F8[I]) is \033[19;3~
1731474948.731687 input_key_build: 0x810000010e19d (M-F9[I]) is \033[20;3~
1731474948.731691 input_key_build: 0x810000010e19e (M-F10[I]) is \033[21;3~
1731474948.731695 input_key_build: 0x810000010e19f (M-F11[I]) is \033[23;3~
1731474948.731699 input_key_build: 0x810000010e1a0 (M-F12[I]) is \033[24;3~
1731474948.731702 input_key_build: 0x810000010e1a1 (M-IC[I]) is \033[2;3~
1731474948.731706 input_key_build: 0x810000010e1a2 (M-DC[I]) is \033[3;3~
1731474948.731709 input_key_build: 0x810000010e1a3 (M-Home[I]) is \033[1;3H
1731474948.731712 input_key_build: 0x810000010e1a4 (M-End[I]) is \033[1;3F
1731474948.731715 input_key_build: 0x810000010e1a5 (M-NPage[I]) is \033[6;3~
1731474948.731719 input_key_build: 0x810000010e1a6 (M-PPage[I]) is \033[5;3~
1731474948.731722 input_key_build: 0x810000010e1a8 (M-Up[I]) is \033[1;3A
1731474948.731726 input_key_build: 0x810000010e1a9 (M-Down[I]) is \033[1;3B
1731474948.731729 input_key_build: 0x810000010e1aa (M-Left[I]) is \033[1;3D
1731474948.731733 input_key_build: 0x810000010e1ab (M-Right[I]) is \033[1;3C
1731474948.731737 input_key_build: 0x830000010e195 (C-M-F1[I]) is \033[1;7P
1731474948.731740 input_key_build: 0x830000010e196 (C-M-F2[I]) is \033[1;7Q
1731474948.731743 input_key_build: 0x830000010e197 (C-M-F3[I]) is \033[1;7R
1731474948.731746 input_key_build: 0x830000010e198 (C-M-F4[I]) is \033[1;7S
1731474948.731750 input_key_build: 0x830000010e199 (C-M-F5[I]) is \033[15;7~
1731474948.731753 input_key_build: 0x830000010e19a (C-M-F6[I]) is \033[17;7~
1731474948.731756 input_key_build: 0x830000010e19b (C-M-F7[I]) is \033[18;7~
1731474948.731759 input_key_build: 0x830000010e19c (C-M-F8[I]) is \033[19;7~
1731474948.731763 input_key_build: 0x830000010e19d (C-M-F9[I]) is \033[20;7~
1731474948.731766 input_key_build: 0x830000010e19e (C-M-F10[I]) is \033[21;7~
1731474948.731769 input_key_build: 0x830000010e19f (C-M-F11[I]) is \033[23;7~
1731474948.731773 input_key_build: 0x830000010e1a0 (C-M-F12[I]) is \033[24;7~
1731474948.731776 input_key_build: 0x830000010e1a1 (C-M-IC[I]) is \033[2;7~
1731474948.731780 input_key_build: 0x830000010e1a2 (C-M-DC[I]) is \033[3;7~
1731474948.731784 input_key_build: 0x830000010e1a3 (C-M-Home[I]) is \033[1;7H
1731474948.731788 input_key_build: 0x830000010e1a4 (C-M-End[I]) is \033[1;7F
1731474948.731792 input_key_build: 0x830000010e1a5 (C-M-NPage[I]) is \033[6;7~
1731474948.731796 input_key_build: 0x830000010e1a6 (C-M-PPage[I]) is \033[5;7~
1731474948.731801 input_key_build: 0x830000010e1a8 (C-M-Up[I]) is \033[1;7A
1731474948.731805 input_key_build: 0x830000010e1a9 (C-M-Down[I]) is \033[1;7B
1731474948.731808 input_key_build: 0x830000010e1aa (C-M-Left[I]) is \033[1;7D
1731474948.731812 input_key_build: 0x830000010e1ab (C-M-Right[I]) is \033[1;7C
1731474948.731821 input_key_build: 0x850000010e195 (M-S-F1[I]) is \033[1;4P
1731474948.731824 input_key_build: 0x850000010e196 (M-S-F2[I]) is \033[1;4Q
1731474948.731827 input_key_build: 0x850000010e197 (M-S-F3[I]) is \033[1;4R
1731474948.731831 input_key_build: 0x850000010e198 (M-S-F4[I]) is \033[1;4S
1731474948.731834 input_key_build: 0x850000010e199 (M-S-F5[I]) is \033[15;4~
1731474948.731837 input_key_build: 0x850000010e19a (M-S-F6[I]) is \033[17;4~
1731474948.731841 input_key_build: 0x850000010e19b (M-S-F7[I]) is \033[18;4~
1731474948.731844 input_key_build: 0x850000010e19c (M-S-F8[I]) is \033[19;4~
1731474948.731847 input_key_build: 0x850000010e19d (M-S-F9[I]) is \033[20;4~
1731474948.731850 input_key_build: 0x850000010e19e (M-S-F10[I]) is \033[21;4~
1731474948.731854 input_key_build: 0x850000010e19f (M-S-F11[I]) is \033[23;4~
1731474948.731857 input_key_build: 0x850000010e1a0 (M-S-F12[I]) is \033[24;4~
1731474948.731860 input_key_build: 0x850000010e1a1 (M-S-IC[I]) is \033[2;4~
1731474948.731864 input_key_build: 0x850000010e1a2 (M-S-DC[I]) is \033[3;4~
1731474948.731867 input_key_build: 0x850000010e1a3 (M-S-Home[I]) is \033[1;4H
1731474948.731870 input_key_build: 0x850000010e1a4 (M-S-End[I]) is \033[1;4F
1731474948.731873 input_key_build: 0x850000010e1a5 (M-S-NPage[I]) is \033[6;4~
1731474948.731877 input_key_build: 0x850000010e1a6 (M-S-PPage[I]) is \033[5;4~
1731474948.731880 input_key_build: 0x850000010e1a8 (M-S-Up[I]) is \033[1;4A
1731474948.731883 input_key_build: 0x850000010e1a9 (M-S-Down[I]) is \033[1;4B
1731474948.731886 input_key_build: 0x850000010e1aa (M-S-Left[I]) is \033[1;4D
1731474948.731890 input_key_build: 0x850000010e1ab (M-S-Right[I]) is \033[1;4C
1731474948.731893 input_key_build: 0x870000010e195 (C-M-S-F1[I]) is \033[1;8P
1731474948.731896 input_key_build: 0x870000010e196 (C-M-S-F2[I]) is \033[1;8Q
1731474948.731900 input_key_build: 0x870000010e197 (C-M-S-F3[I]) is \033[1;8R
1731474948.731903 input_key_build: 0x870000010e198 (C-M-S-F4[I]) is \033[1;8S
1731474948.731906 input_key_build: 0x870000010e199 (C-M-S-F5[I]) is \033[15;8~
1731474948.731909 input_key_build: 0x870000010e19a (C-M-S-F6[I]) is \033[17;8~
1731474948.731913 input_key_build: 0x870000010e19b (C-M-S-F7[I]) is \033[18;8~
1731474948.731916 input_key_build: 0x870000010e19c (C-M-S-F8[I]) is \033[19;8~
1731474948.731919 input_key_build: 0x870000010e19d (C-M-S-F9[I]) is \033[20;8~
1731474948.731922 input_key_build: 0x870000010e19e (C-M-S-F10[I]) is \033[21;8~
1731474948.731926 input_key_build: 0x870000010e19f (C-M-S-F11[I]) is \033[23;8~
1731474948.731929 input_key_build: 0x870000010e1a0 (C-M-S-F12[I]) is \033[24;8~
1731474948.731932 input_key_build: 0x870000010e1a1 (C-M-S-IC[I]) is \033[2;8~
1731474948.731936 input_key_build: 0x870000010e1a2 (C-M-S-DC[I]) is \033[3;8~
1731474948.731939 input_key_build: 0x870000010e1a3 (C-M-S-Home[I]) is \033[1;8H
1731474948.731942 input_key_build: 0x870000010e1a4 (C-M-S-End[I]) is \033[1;8F
1731474948.731945 input_key_build: 0x870000010e1a5 (C-M-S-NPage[I]) is \033[6;8~
1731474948.731949 input_key_build: 0x870000010e1a6 (C-M-S-PPage[I]) is \033[5;8~
1731474948.731952 input_key_build: 0x870000010e1a8 (C-M-S-Up[I]) is \033[1;8A
1731474948.731955 input_key_build: 0x870000010e1a9 (C-M-S-Down[I]) is \033[1;8B
1731474948.731959 input_key_build: 0x870000010e1aa (C-M-S-Left[I]) is \033[1;8D
1731474948.731962 input_key_build: 0x870000010e1ab (C-M-S-Right[I]) is \033[1;8C
1731474948.732229 yylex_token: end at WS
1731474948.732241 yylex_token: bind
1731474948.732246 yylex_token: end at WS
1731474948.732250 yylex_token: -N
1731474948.732255 yylex_token: end at WS
1731474948.732259 yylex_token: Send the prefix key
1731474948.732262 yylex_token: end at WS
1731474948.732266 yylex_token: C-b
1731474948.732270 yylex_token: end at WS
1731474948.732273 yylex_token: send-prefix
1731474948.732279 cmd_parse_build_commands 0:0: bind
1731474948.732283 cmd_parse_build_commands 0:1: -N
1731474948.732286 cmd_parse_build_commands 0:2: Send the prefix key
1731474948.732290 cmd_parse_build_commands 0:3: C-b
1731474948.732294 cmd_parse_build_commands 0:4 0:0: send-prefix
1731474948.732378 cmd_parse_build_commands 0:0: send-prefix
1731474948.732441 args_parse: flags end at 1 of 1
1731474948.732450 cmd_parse_build_commands: send-prefix
1731474948.732454 args_parse_flags: next -N
1731474948.732458 args_parse_flag_argument: -N = Send the prefix key
1731474948.732461 args_parse_flags: next C-b
1731474948.732465 args_parse: flags end at 3 of 5
1731474948.732468 args_parse: 3 = C-b (type STRING)
1731474948.732475 args_parse: 4 = send-prefix (type COMMANDS)
1731474948.732541 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1731474948.732603 cmdq_get_command: [bind-key/0x14b7044d0] group 2
1731474948.732609 cmdq_append <global>: [bind-key/0x14b7044d0]
1731474948.732624 yylex_token: end at WS
1731474948.732629 yylex_token: bind
1731474948.732633 yylex_token: end at WS
1731474948.732636 yylex_token: -N
1731474948.732641 yylex_token: end at WS
1731474948.732646 yylex_token: Rotate through the panes
1731474948.732650 yylex_token: end at WS
1731474948.732654 yylex_token: C-o
1731474948.732659 yylex_token: end at WS
1731474948.732663 yylex_token: rotate-window
1731474948.732669 cmd_parse_build_commands 0:0: bind
1731474948.732673 cmd_parse_build_commands 0:1: -N
1731474948.732676 cmd_parse_build_commands 0:2: Rotate through the panes
1731474948.732679 cmd_parse_build_commands 0:3: C-o
1731474948.732683 cmd_parse_build_commands 0:4 0:0: rotate-window
1731474948.732690 cmd_parse_build_commands 0:0: rotate-window
1731474948.732696 args_parse: flags end at 1 of 1
1731474948.732700 cmd_parse_build_commands: rotate-window
1731474948.732704 args_parse_flags: next -N
1731474948.732709 args_parse_flag_argument: -N = Rotate through the panes
1731474948.732713 args_parse_flags: next C-o
1731474948.732717 args_parse: flags end at 3 of 5
1731474948.732721 args_parse: 3 = C-o (type STRING)
1731474948.732726 args_parse: 4 = rotate-window (type COMMANDS)
1731474948.732737 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1731474948.732743 cmdq_get_command: [bind-key/0x14b704a50] group 10
1731474948.732747 cmdq_append <global>: [bind-key/0x14b704a50]
1731474948.732750 yylex_token: end at WS
1731474948.732754 yylex_token: bind
1731474948.732757 yylex_token: end at WS
1731474948.732760 yylex_token: -N
1731474948.732765 yylex_token: end at WS
1731474948.732768 yylex_token: Suspend the current client
1731474948.732771 yylex_token: end at WS
1731474948.732774 yylex_token: C-z
1731474948.732778 yylex_token: end at WS
1731474948.732781 yylex_token: suspend-client
1731474948.732785 cmd_parse_build_commands 0:0: bind
1731474948.732788 cmd_parse_build_commands 0:1: -N
1731474948.732792 cmd_parse_build_commands 0:2: Suspend the current client
1731474948.732795 cmd_parse_build_commands 0:3: C-z
1731474948.732799 cmd_parse_build_commands 0:4 0:0: suspend-client
1731474948.732803 cmd_parse_build_commands 0:0: suspend-client
1731474948.732809 args_parse: flags end at 1 of 1
1731474948.732813 cmd_parse_build_commands: suspend-client
1731474948.732816 args_parse_flags: next -N
1731474948.732820 args_parse_flag_argument: -N = Suspend the current client
1731474948.732823 args_parse_flags: next C-z
1731474948.732826 args_parse: flags end at 3 of 5
1731474948.732830 args_parse: 3 = C-z (type STRING)
1731474948.732834 args_parse: 4 = suspend-client (type COMMANDS)
1731474948.732844 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1731474948.732849 cmdq_get_command: [bind-key/0x14b704d90] group 18
1731474948.732852 cmdq_append <global>: [bind-key/0x14b704d90]
1731474948.732856 yylex_token: end at WS
1731474948.732859 yylex_token: bind
1731474948.732862 yylex_token: end at WS
1731474948.732865 yylex_token: -N
1731474948.732870 yylex_token: end at WS
1731474948.732873 yylex_token: Select next layout
1731474948.732876 yylex_token: end at WS
1731474948.732879 yylex_token: Space
1731474948.732883 yylex_token: end at WS
1731474948.732886 yylex_token: next-layout
1731474948.732890 cmd_parse_build_commands 0:0: bind
1731474948.732902 cmd_parse_build_commands 0:1: -N
1731474948.732906 cmd_parse_build_commands 0:2: Select next layout
1731474948.732910 cmd_parse_build_commands 0:3: Space
1731474948.732913 cmd_parse_build_commands 0:4 0:0: next-layout
1731474948.732918 cmd_parse_build_commands 0:0: next-layout
1731474948.732923 args_parse: flags end at 1 of 1
1731474948.732927 cmd_parse_build_commands: next-layout
1731474948.732930 args_parse_flags: next -N
1731474948.732933 args_parse_flag_argument: -N = Select next layout
1731474948.732936 args_parse_flags: next Space
1731474948.732940 args_parse: flags end at 3 of 5
1731474948.732943 args_parse: 3 = Space (type STRING)
1731474948.732947 args_parse: 4 = next-layout (type COMMANDS)
1731474948.732956 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1731474948.732961 cmdq_get_command: [bind-key/0x14b705010] group 26
1731474948.732965 cmdq_append <global>: [bind-key/0x14b705010]
1731474948.732968 yylex_token: end at WS
1731474948.732971 yylex_token: bind
1731474948.732975 yylex_token: end at WS
1731474948.732978 yylex_token: -N
1731474948.732982 yylex_token: end at WS
1731474948.732986 yylex_token: Break pane to a new window
1731474948.732989 yylex_token: end at WS
1731474948.732993 yylex_token: !
1731474948.732997 yylex_token: end at WS
1731474948.733000 yylex_token: break-pane
1731474948.733004 cmd_parse_build_commands 0:0: bind
1731474948.733007 cmd_parse_build_commands 0:1: -N
1731474948.733010 cmd_parse_build_commands 0:2: Break pane to a new window
1731474948.733013 cmd_parse_build_commands 0:3: !
1731474948.733017 cmd_parse_build_commands 0:4 0:0: break-pane
1731474948.733024 cmd_parse_build_commands 0:0: break-pane
1731474948.733028 args_parse: flags end at 1 of 1
1731474948.733032 cmd_parse_build_commands: break-pane
1731474948.733035 args_parse_flags: next -N
1731474948.733039 args_parse_flag_argument: -N = Break pane to a new window
1731474948.733042 args_parse_flags: next !
1731474948.733045 args_parse: flags end at 3 of 5
1731474948.733049 args_parse: 3 = ! (type STRING)
1731474948.733053 args_parse: 4 = break-pane (type COMMANDS)
1731474948.733062 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1731474948.733068 cmdq_get_command: [bind-key/0x14b705580] group 34
1731474948.733072 cmdq_append <global>: [bind-key/0x14b705580]
1731474948.733075 yylex_token: end at WS
1731474948.733078 yylex_token: bind
1731474948.733081 yylex_token: end at WS
1731474948.733084 yylex_token: -N
1731474948.733088 yylex_token: end at WS
1731474948.733091 yylex_token: Split window vertically
1731474948.733095 yylex_token: end at WS
1731474948.733099 yylex_token: "
1731474948.733103 yylex_token: end at WS
1731474948.733107 yylex_token: split-window
1731474948.733112 cmd_parse_build_commands 0:0: bind
1731474948.733117 cmd_parse_build_commands 0:1: -N
1731474948.733121 cmd_parse_build_commands 0:2: Split window vertically
1731474948.733125 cmd_parse_build_commands 0:3: "
1731474948.733130 cmd_parse_build_commands 0:4 0:0: split-window
1731474948.733135 cmd_parse_build_commands 0:0: split-window
1731474948.733141 args_parse: flags end at 1 of 1
1731474948.733147 cmd_parse_build_commands: split-window
1731474948.733152 args_parse_flags: next -N
1731474948.733156 args_parse_flag_argument: -N = Split window vertically
1731474948.733161 args_parse_flags: next "
1731474948.733165 args_parse: flags end at 3 of 5
1731474948.733170 args_parse: 3 = " (type STRING)
1731474948.733175 args_parse: 4 = split-window (type COMMANDS)
1731474948.733185 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1731474948.733191 cmdq_get_command: [bind-key/0x14b7057c0] group 42
1731474948.733196 cmdq_append <global>: [bind-key/0x14b7057c0]
1731474948.733201 yylex_token: end at WS
1731474948.733205 yylex_token: bind
1731474948.733209 yylex_token: end at WS
1731474948.733213 yylex_token: -N
1731474948.733218 yylex_token: end at WS
1731474948.733223 yylex_token: List all paste buffers
1731474948.733227 yylex_token: end at WS
1731474948.733243 yylex_token: #
1731474948.733248 yylex_token: end at WS
1731474948.733252 yylex_token: list-buffers
1731474948.733257 cmd_parse_build_commands 0:0: bind
1731474948.733262 cmd_parse_build_commands 0:1: -N
1731474948.733266 cmd_parse_build_commands 0:2: List all paste buffers
1731474948.733270 cmd_parse_build_commands 0:3: #
1731474948.733275 cmd_parse_build_commands 0:4 0:0: list-buffers
1731474948.733282 cmd_parse_build_commands 0:0: list-buffers
1731474948.733288 args_parse: flags end at 1 of 1
1731474948.733294 cmd_parse_build_commands: list-buffers
1731474948.733299 args_parse_flags: next -N
1731474948.733303 args_parse_flag_argument: -N = List all paste buffers
1731474948.733308 args_parse_flags: next #
1731474948.733312 args_parse: flags end at 3 of 5
1731474948.733316 args_parse: 3 = # (type STRING)
1731474948.733321 args_parse: 4 = list-buffers (type COMMANDS)
1731474948.733330 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1731474948.733337 cmdq_get_command: [bind-key/0x14b705e30] group 50
1731474948.733342 cmdq_append <global>: [bind-key/0x14b705e30]
1731474948.733400 yylex_token: end at WS
1731474948.733407 yylex_token: bind
1731474948.733412 yylex_token: end at WS
1731474948.733416 yylex_token: -N
1731474948.733422 yylex_token: end at WS
1731474948.733426 yylex_token: Rename current session
1731474948.733431 yylex_token: end at WS
1731474948.733435 yylex_token: $
1731474948.733440 yylex_token: end at WS
1731474948.733444 yylex_token: command-prompt
1731474948.733449 yylex_token: end at WS
1731474948.733453 yylex_token: -I#S
1731474948.733458 yylex_token: end at WS
1731474948.733463 yylex_token: rename-session
